City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chhapar,IN,2022-01-22 23:12:00,27.8167,74.4,53.69,79,81,8.41
1,Punta Arenas,CL,2022-01-22 23:12:00,-53.15,-70.9167,53.71,66,75,6.91
2,Beringovskiy,RU,2022-01-22 23:12:00,63.05,179.3167,-5.19,96,100,9.22
3,Victoria,HK,2022-01-22 23:07:43,22.2855,114.1577,66.18,87,100,1.99
4,Vila,PT,2022-01-22 23:12:00,42.0304,-8.1588,37.33,72,4,4.25
5,Busselton,AU,2022-01-22 23:12:01,-33.65,115.3333,72.09,46,4,6.73
6,Tuktoyaktuk,CA,2022-01-22 23:12:01,69.4541,-133.0374,-0.26,88,100,17.67
7,Butaritari,KI,2022-01-22 23:12:01,3.0707,172.7902,82.83,71,92,12.62
8,Perleberg,DE,2022-01-22 23:12:01,53.0667,11.8667,41.9,91,99,7.81
9,Atar,MR,2022-01-22 23:12:02,20.5169,-13.0499,73.9,15,99,10.04
10,East London,ZA,2022-01-22 23:12:02,-33.0153,27.9116,72.66,71,0,18.07
11,Palmer,US,2022-01-22 23:12:02,42.1584,-72.3287,23.56,64,75,0.0
12,Iracoubo,GF,2022-01-22 23:12:03,5.4802,-53.2011,76.91,83,93,6.62
13,Adrar,MR,2022-01-22 23:12:03,20.5022,-10.0711,66.74,16,94,11.27
14,Tiksi,RU,2022-01-22 23:12:03,71.6872,128.8694,-6.65,95,100,9.26
15,Puerto Ayora,EC,2022-01-22 23:12:03,-0.7393,-90.3518,75.38,77,95,8.12
16,Ribeira Grande,PT,2022-01-22 23:12:04,38.5167,-28.7,59.32,62,53,10.45
17,Yellowknife,CA,2022-01-22 23:07:11,62.456,-114.3525,-15.59,85,99,10.0
18,Jamestown,US,2022-01-22 23:12:04,42.097,-79.2353,24.39,36,100,5.99
19,Albany,US,2022-01-22 23:12:04,42.6001,-73.9662,18.59,68,76,1.57
20,Ushuaia,AR,2022-01-22 23:11:12,-54.8,-68.3,46.02,96,100,4.07
21,Auxerre,FR,2022-01-22 23:08:05,47.8,3.5667,39.06,97,2,5.86
22,Hobart,AU,2022-01-22 23:08:25,-42.8794,147.3294,78.03,57,0,3.0
23,Roald,NO,2022-01-22 23:12:05,62.5833,6.1333,50.05,81,0,18.41
24,Bredasdorp,ZA,2022-01-22 23:12:05,-34.5322,20.0403,77.29,87,14,4.14
25,Srednekolymsk,RU,2022-01-22 23:09:39,67.45,153.6833,-40.88,100,99,5.5
