City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Bubaque,GW,11.2833,-15.8333,78.3,71,16,8.55,few clouds
80,Oistins,BB,13.0667,-59.5333,75.29,73,40,12.66,scattered clouds
81,Qaanaaq,GL,77.484,-69.3632,-10.91,74,100,7.27,overcast clouds
82,Hithadhoo,MV,-0.6,73.0833,82.33,71,84,16.71,broken clouds
83,East London,ZA,-33.0153,27.9116,71.62,67,0,17.76,clear sky
84,Tevaitoa,PF,-16.7833,-151.5,80.92,76,96,15.82,light rain
85,Huntingdon,GB,52.3305,-0.1865,42.64,95,93,5.91,overcast clouds
86,Capreol,CA,46.706,-80.9225,16.27,79,100,13.8,overcast clouds
87,Padang,ID,-0.9492,100.3543,78.85,82,90,1.05,overcast clouds
88,Sibolga,ID,1.7427,98.7792,83.98,69,43,2.55,scattered clouds
89,Marquette,US,46.5333,-87.6335,8.67,71,100,7.81,overcast clouds
90,Pisco,PE,-13.7,-76.2167,69.85,83,0,16.11,clear sky
91,Kochki,RU,54.3358,80.4806,-10.57,100,100,0.81,overcast clouds
92,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,77,100,21.85,light snow
93,Vestmannaeyjar,IS,63.4427,-20.2734,37.45,97,100,14.5,moderate rain
94,Klaksvik,FO,62.2266,-6.589,49.12,84,74,34.92,broken clouds
95,Faya,SA,18.3851,42.4509,51.91,46,100,4.76,overcast clouds
96,Muros,ES,42.7762,-9.0603,46.24,89,3,4.99,clear sky
97,Tasiilaq,GL,65.6145,-37.6368,1.38,40,0,12.03,clear sky
98,Ulmu,RO,44.95,27.3167,25.68,67,15,7.96,few clouds
99,Hammerfest,NO,70.6634,23.6821,37.85,70,75,33.38,broken clouds
100,Anito,PH,12.4497,125.2886,82.06,74,85,9.86,overcast clouds
101,Khatanga,RU,71.9667,102.5,10.87,94,100,11.83,light snow
102,Alausi,EC,-2.2,-78.8333,51.3,97,100,2.04,light rain
103,Inhambane,MZ,-23.865,35.3833,75.52,86,92,15.52,light rain
104,Maceio,BR,-9.6658,-35.7353,78.24,83,20,2.3,few clouds
105,Kirya,TZ,-3.9167,37.4833,69.94,72,85,3.47,overcast clouds
106,Kamenka,RU,51.3223,42.7678,17.74,96,100,5.55,overcast clouds
107,New Norfolk,AU,-42.7826,147.0587,86.9,24,96,3.0,overcast clouds
108,Muana,BR,-1.5283,-49.2167,74.95,94,73,4.72,broken clouds
109,Sioux Lookout,CA,50.1001,-91.917,-12.62,84,0,5.75,clear sky
110,Mogadishu,SO,2.0371,45.3438,75.76,83,99,18.45,overcast clouds
111,Taksimo,RU,56.3444,114.8794,-9.54,96,76,1.01,broken clouds
112,Muzhi,RU,65.3667,64.6667,2.35,93,31,5.64,scattered clouds
113,Ndago,TZ,-4.6,34.35,61.56,94,100,1.12,light rain
114,Huarmey,PE,-10.0681,-78.1522,71.69,85,11,8.08,few clouds
115,Erzincan,TR,39.75,39.5,20.41,85,100,6.73,overcast clouds
116,Buraydah,SA,26.326,43.975,43.25,37,0,8.55,clear sky
117,Ilebo,CD,-4.3167,20.5833,69.31,96,99,1.5,overcast clouds
118,Hualmay,PE,-11.0964,-77.6139,71.42,86,8,9.91,clear sky
119,Lashio,MM,22.9333,97.75,61.2,57,8,0.74,clear sky
120,Sambava,MG,-14.2667,50.1667,75.22,91,100,3.53,overcast clouds
121,Nikolskoye,RU,59.7035,30.7861,19.29,100,97,2.35,overcast clouds
122,Dalvik,IS,65.9702,-18.5286,33.73,92,100,6.38,snow
123,Bahia Honda,CU,22.9036,-83.1592,71.04,88,97,7.47,overcast clouds
124,Yurla,RU,59.3259,54.3223,5.59,98,100,5.3,overcast clouds
125,Mao,ES,39.8885,4.2658,45.16,81,75,3.44,broken clouds
126,Puerto Escondido,MX,15.85,-97.0667,76.46,78,0,5.97,clear sky
127,Lincoln,US,40.8,-96.667,45.84,47,85,7.0,overcast clouds
128,Rio Cuarto,AR,-33.1307,-64.3499,68.67,99,36,4.0,scattered clouds
129,Norman Wells,CA,65.282,-126.8329,-0.36,65,75,4.61,broken clouds
130,Butaritari,KI,3.0707,172.7902,82.56,72,54,13.78,broken clouds
131,Bengkulu,ID,-3.8004,102.2655,83.28,66,76,0.38,broken clouds
132,Sakharovo,RU,56.8995,36.0502,5.99,99,92,3.96,overcast clouds
133,Cherskiy,RU,68.75,161.3,-47.69,100,96,6.42,overcast clouds
134,Shache,CN,38.4167,77.2406,26.55,44,100,4.72,overcast clouds
135,Alamosa,US,37.4695,-105.87,23.67,79,0,8.05,clear sky
136,Dikson,RU,73.5069,80.5464,-12.51,100,97,6.51,overcast clouds
137,Matagami,CA,49.7502,-77.6328,1.51,78,100,13.8,snow
138,Kaitangata,NZ,-46.2817,169.8464,63.93,48,10,12.15,clear sky
139,Guerrero Negro,MX,27.9769,-114.0611,61.29,72,0,9.28,clear sky
140,Grindavik,IS,63.8424,-22.4338,32.47,86,100,23.02,light snow
141,Berdigestyakh,RU,62.0989,126.6992,-6.3,97,89,4.61,overcast clouds
142,Rio Grande,BR,-32.035,-52.0986,76.95,84,10,9.98,clear sky
143,Muroto,JP,33.2833,134.15,46.44,90,100,15.57,light rain
144,Odessa,UA,46.4775,30.7326,24.73,93,0,8.95,clear sky
145,Saint-Joseph,RE,-21.3667,55.6167,79.16,79,39,11.97,scattered clouds
146,San Patricio,US,28.017,-97.5169,52.84,46,100,6.69,overcast clouds
147,Uppsala,SE,60.0,17.75,26.98,80,100,5.75,overcast clouds
148,Bredasdorp,ZA,-34.5322,20.0403,79.29,94,52,1.14,broken clouds
149,Ust-Tsilma,RU,65.441,52.1498,-2.83,98,38,4.05,scattered clouds
150,Saint-Philippe,RE,-21.3585,55.7679,80.15,81,59,14.07,broken clouds
151,Aborlan,PH,9.4352,118.5492,84.13,69,47,6.55,scattered clouds
152,San Cristobal,VE,7.7669,-72.225,71.78,83,99,0.47,overcast clouds
153,Hambantota,LK,6.1241,81.1185,70.14,100,20,4.61,few clouds
154,Carballo,ES,43.213,-8.691,40.68,75,2,3.94,clear sky
155,Akureyri,IS,65.6835,-18.0878,33.73,93,100,6.91,overcast clouds
156,Pacific Grove,US,36.6177,-121.9166,56.62,61,22,1.99,few clouds
157,Rawson,AR,-43.3002,-65.1023,67.51,37,9,20.0,clear sky
158,Yerbogachen,RU,61.2767,108.0108,-7.62,100,98,4.52,overcast clouds
159,Aklavik,CA,68.2191,-135.0107,-1.37,94,100,13.6,overcast clouds
160,Cabo San Lucas,MX,22.8909,-109.9124,71.06,63,14,7.36,few clouds
161,Hofn,IS,64.2539,-15.2082,45.91,88,100,50.58,moderate rain
162,Baiyin,CN,36.5583,104.2081,22.08,39,100,3.09,overcast clouds
163,Tulagi,SB,-9.0996,160.1476,84.56,73,60,11.07,broken clouds
164,Bandarbeyla,SO,9.4942,50.8122,74.35,75,79,17.27,broken clouds
165,Narsaq,GL,60.9167,-46.05,6.03,66,99,11.18,overcast clouds
166,Lebu,CL,-37.6167,-73.65,54.73,79,0,2.8,clear sky
167,Moree,AU,-29.4667,149.85,86.02,32,40,5.75,scattered clouds
168,San Juan De La Maguana,DO,18.8059,-71.2299,65.37,75,0,1.05,clear sky
169,Sobolevo,RU,54.4299,31.8996,9.45,96,96,7.09,overcast clouds
170,Cape Town,ZA,-33.9258,18.4232,79.21,67,0,1.01,clear sky
171,Tjome,NO,59.1109,10.3933,35.83,98,99,2.3,overcast clouds
172,Lorengau,PG,-2.0226,147.2712,84.2,69,100,8.05,overcast clouds
173,Koroni,GR,36.8,21.95,40.06,74,86,12.1,overcast clouds
174,Iquique,CL,-20.2208,-70.1431,66.24,79,78,0.65,broken clouds
175,Karratha,AU,-20.7377,116.8463,96.06,39,53,2.37,broken clouds
176,Murud,IN,18.3258,72.965,72.79,61,33,9.55,scattered clouds
177,Victoria,HK,22.2855,114.1577,74.17,84,68,3.0,broken clouds
178,Galle,LK,6.0367,80.217,76.64,79,68,2.93,broken clouds
179,Mehamn,NO,71.0357,27.8492,34.9,81,94,28.95,overcast clouds
180,Axim,GH,4.8699,-2.2405,76.62,83,0,1.43,clear sky
181,Matay,EG,28.419,30.7792,46.44,55,0,6.15,clear sky
182,Kamenz,DE,51.268,14.0937,40.08,31,100,7.36,overcast clouds
183,Bathsheba,BB,13.2167,-59.5167,75.81,73,40,12.66,scattered clouds
184,Oktyabrskiy,RU,54.4815,53.471,8.69,93,100,3.18,overcast clouds
185,Kununurra,AU,-15.7667,128.7333,89.58,70,75,4.61,broken clouds
186,Saint-Ambroise,CA,48.5501,-71.3324,10.94,72,100,8.05,overcast clouds
187,Quelimane,MZ,-17.8786,36.8883,72.39,97,100,5.79,light rain
188,Miandrivazo,MG,-19.5167,45.4667,77.72,89,100,3.42,overcast clouds
189,Mersing,MY,2.4312,103.8405,84.11,79,40,3.44,scattered clouds
190,Kangaatsiaq,GL,68.3065,-53.4641,-2.29,83,100,12.53,overcast clouds
191,Nishihara,JP,26.1842,127.7558,70.88,92,100,19.57,overcast clouds
192,Kashi,CN,39.4547,75.9797,25.81,46,40,4.47,scattered clouds
